user id, text, retweet, favorite, hashtag, create time
1007116319047626752,노회찬 사망 접한 드루킹 ＂책임질 사람 따.로 있는데…＂ https:,0,0,0,Aug Mon 26 12:00:43 +0000 2019,
1007116319047626752,노회찬 사망 접한 드루킹 ＂책임질 사람. 따로 있는데…＂ https:,0,0,0,Oct Wed 02 11:00:43 +0000 2019,
1007116319047626752,노회찬 사망 접한 드루킹 ＂책임질. 사람 따로 있는데…＂ https:,0,0,0,Sep Fri 20 09:00:41 +0000 2019,
1007116319047626752,노회찬 사망 접한 드루킹 ＂책임.질 사람 따로 있는데…＂ https:,0,0,0,Oct Tue 29 08:00:42 +0000 2019,
1007116319047626752,노회찬 사망 접한 드루킹. ＂책임질 사람 따로 있는데…＂https:,0,1,0,Oct Thu 10 07:15:48 +0000 2019,
1007116319047626752,노회찬 사망 접한 드루킹 ＂.책임질 사람 따로 있는데…＂ https:,0,0,0,Aug Thu 29 06:00:42 +0000 2019,
1007116319047626752,이해찬 압승 들여다보.니 SNS와 실제 당심 괴리 컸다 https://t.co/0xmGKaPZ6F 역시 서민박사가 잘본거야( 180625 https://t.co/EMw3sMvQBo )문충이,0,0,0,Oct Wed 09 11:30:41 +0000 2019,
1007116319047626752,이해찬 압승 들여다보니 SNS와 실제 당심 괴리 컸다https://t.co/0xmGKaPZ6F 역시 서민박사가 잘본거야( 180625 https://t.co/EMw3sMvQBo )문충이 숫자,0,0,0,Oct Wed 30 09:15:48 +0000 2019,
1007116319047626752,이해찬 압승 들.여다보니 SNS와 실제 당심 괴리 컸다 https://t.co/0xmGKaPZ6F 역시 서민박사가 잘본거야( 180625 https://t.co/EMw3sMvQBo )문충이,0,0,0,Oct Sun 20 08:30:42 +0000 2019,
1007116319047626752,이해찬. 압승 들여다보니 SNS와 실제 당심 괴리 컸다 https://t.co/0xmGKaPZ6F 역시 서민박사가 잘본거야( 180625 https://t.co/EMw3sMvQBo )문충이,0,0,0,Sep Thu 12 05:30:41 +0000 2019,
1007116319047626752,이해찬 압승 들여다보.니 SNS와 실제 당심 괴리 컸다 https://t.co/0xmGKaPZ6F 역시 서민박사가 잘본거야( 180625 https://t.co/EMw3sMvQBo )문충이,0,0,0,Oct Tue 01 11:30:41 +0000 2019,
1007116319047626752,이해찬 압승 들여다보니 SNS와 실제 당심 괴리 컸다https://t.co/0xmGKaPZ6F 역시 서민박사가 잘본거야( 180625 https://t.co/EMw3sMvQBo )문충이 숫자,0,0,0,Aug Sat 31 09:15:48 +0000 2019,
1007116319047626752,이해찬 압승 들.여다보니 SNS와 실제 당심 괴리 컸다 https://t.co/0xmGKaPZ6F 역시 서민박사가 잘본거야( 180625 https://t.co/EMw3sMvQBo )문충이,0,0,0,Sep Mon 23 08:30:42 +0000 2019,
1007116319047626752,이해찬. 압승 들여다보니 SNS와 실제 당심 괴리 컸다 https://t.co/0xmGKaPZ6F 역시 서민박사가 잘본거야( 180625 https://t.co/EMw3sMvQBo )문충이,0,0,0,Oct Wed 16 05:30:41 +0000 2019,
1008005706409103361,one person followed me and one person unfollowed me // automatically checked by ,0,0,0,Sep Mon 16 10:24:45 +0000 2019,
1008005706409103361,2 people unfollowed me // automatically checked by ,0,0,0,Nov Thu 28 08:56:58 +0000 2019,
1008005706409103361,one person followed me and 3 people unfollowed me // automatically checked by ,0,0,0,Nov Sat 16 09:03:27 +0000 2019,
1008251486,!!! 원룸이사&amp;용달이사 잘하는곳 1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri 고창군산김제남원무주부안순창완주익산임실장수전주정읍진안제주서귀포원룸이사&amp;,0,0,0,Aug Sun 25 20:54:30 +0000 2019,
1008251486,!!!원룸이사&amp;용달이사 잘하는곳 1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri 강진고흥곡성광양구례나주담양목포무안보성순천신안여수영광영암완도장성장흥진도함평해남,0,0,0,Sep Tue 03 20:24:31 +0000 2019,
1008251486,!!! 원룸이사&amp;용달이사 잘하는곳 1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri 경산경주고령구미군위김천문경봉화상주성주안동영덕영양영주영천예천울릉울진의성청도청송,0,0,0,Nov Tue 26 19:54:30 +0000 2019,
1008251486,!!원룸이사&amp;용달이사 잘하는곳1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri 거제거창김해남해마산밀양양산의령사천산청진주진해고성창녕창원통영하동함안함양합천 원룸이사,0,0,0,Sep Fri 06 19:24:33 +0000 2019,
